scope,profile_id,feature,n,mean,sd,bootstrap_low,bootstrap_high
code,P3,resource_item_count,20,0.0,0.0,0.0,0.0
code,P3,jargon_marker_count,20,1.8,1.5761,1.15,2.5
code,P3,citation_count,20,0.0,0.0,0.0,0.0
path,P1,char_count,20,936.55,116.0102,887.4488,988.05
path,P1,token_proxy_count,20,644.15,78.67,611.2,677.9013
path,P1,sentence_count,20,2.3,4.669,1.1,4.5
path,P1,avg_chars_per_sentence,20,780.797,269.8819,657.6815,887.2513
path,P1,heading_count,20,0.0,0.0,0.0,0.0
path,P1,list_item_count,20,0.0,0.0,0.0,0.0
path,P1,formula_marker_count,20,0.25,0.4443,0.1,0.45
path,P1,code_block_count,20,0.0,0.0,0.0,0.0
path,P1,code_line_count,20,0.0,0.0,0.0,0.0
path,P1,node_count,20,7.0,0.0,7.0,7.0
path,P1,edge_count,20,6.0,0.0,6.0,6.0
path,P1,resource_item_count,20,0.0,0.0,0.0,0.0
path,P1,jargon_marker_count,20,0.85,1.6944,0.25,1.65
path,P1,citation_count,20,0.0,0.0,0.0,0.0
path,P2,char_count,20,834.1,51.9847,812.5487,857.2013
path,P2,token_proxy_count,20,560.9,31.9719,547.35,574.45
path,P2,sentence_count,20,1.45,1.3945,1.0,2.1
path,P2,avg_chars_per_sentence,20,744.2476,205.9054,644.2129,821.65
path,P2,heading_count,20,0.0,0.0,0.0,0.0
path,P2,list_item_count,20,0.0,0.0,0.0,0.0
path,P2,formula_marker_count,20,1.2,0.7678,0.9,1.55
path,P2,code_block_count,20,0.0,0.0,0.0,0.0
path,P2,code_line_count,20,0.0,0.0,0.0,0.0
path,P2,node_count,20,6.0,0.0,6.0,6.0
path,P2,edge_count,20,5.0,0.0,5.0,5.0
path,P2,resource_item_count,20,0.0,0.0,0.0,0.0
path,P2,jargon_marker_count,20,2.8,1.9358,2.0,3.7
path,P2,citation_count,20,0.0,0.0,0.0,0.0
path,P3,char_count,20,722.5,47.2524,703.6988,743.75
path,P3,token_proxy_count,20,490.5,39.886,473.8,507.65
path,P3,sentence_count,20,2.25,4.5058,1.0,4.4
path,P3,avg_chars_per_sentence,20,640.2867,203.0499,543.0844,715.9513
path,P3,heading_count,20,0.0,0.0,0.0,0.0
path,P3,list_item_count,20,0.0,0.0,0.0,0.0
path,P3,formula_marker_count,20,0.4,0.5982,0.15,0.65
path,P3,code_block_count,20,0.0,0.0,0.0,0.0
path,P3,code_line_count,20,0.0,0.0,0.0,0.0
path,P3,node_count,20,5.0,0.0,5.0,5.0
path,P3,edge_count,20,4.0,0.0,4.0,4.0
path,P3,resource_item_count,20,0.0,0.0,0.0,0.0
path,P3,jargon_marker_count,20,12.85,4.4754,10.95,14.8
path,P3,citation_count,20,0.0,0.0,0.0,0.0
