triplet_id,course_name,topic,agent_id,profile_id,char_count,token_proxy_count,sentence_count,avg_chars_per_sentence,heading_count,list_item_count,formula_marker_count,code_block_count,code_line_count,node_count,edge_count,resource_item_count,jargon_marker_count,citation_count
E1-T-3f28b39924ab,计算机组成原理,Cache 映射与替换,quiz,P2,1633.0,576.0,21.0,77.76190476190476,0.0,0.0,42.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-3f28b39924ab,计算机组成原理,Cache 映射与替换,quiz,P3,1885.0,897.0,30.0,62.833333333333336,0.0,0.0,29.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-ff6573d40a90,机器学习,决策树剪枝,doc,P1,2919.0,1625.0,93.0,31.387096774193548,12.0,15.0,21.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0
E1-T-ff6573d40a90,机器学习,决策树剪枝,doc,P2,3345.0,1601.0,92.0,36.358695652173914,14.0,9.0,33.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0
E1-T-ff6573d40a90,机器学习,决策树剪枝,doc,P3,3663.0,1751.0,97.0,37.76288659793814,15.0,13.0,36.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0
E1-T-8f029c060cd8,操作系统,死锁四条件,path,P1,814.0,581.0,1.0,814.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-8f029c060cd8,操作系统,死锁四条件,path,P2,808.0,581.0,1.0,808.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0
E1-T-8f029c060cd8,操作系统,死锁四条件,path,P3,658.0,453.0,21.0,31.333333333333332,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,14.0,0.0
E1-T-a89ba097706b,操作系统,信号量与互斥锁,quiz,P3,1491.0,723.0,20.0,74.55,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-a89ba097706b,操作系统,信号量与互斥锁,quiz,P2,1692.0,741.0,25.0,67.68,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-a89ba097706b,操作系统,信号量与互斥锁,quiz,P1,1524.0,629.0,15.0,101.6,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-7222dd4cc776,计算机网络,TCP 三次握手,path,P3,722.0,433.0,1.0,722.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,10.0,0.0
E1-T-7222dd4cc776,计算机网络,TCP 三次握手,path,P1,1182.0,794.0,1.0,1182.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0
